unit_id,connection_type,technology,tier,rsp,state_or_territory,geography,is_this_service_impaired,is_this_service_underperforming,gateway_mac,All hour trimmed mean download speed,All hour minimum download speed,All hour maximum download speed,Busy hour trimmed mean download speed,Busy hour minimum download speed,Busy hour maximum download speed,All hour trimmed mean upload speed,All hour minimum upload speed,All hour maximum upload speed,Busy hour trimmed mean upload speed,Busy hour minimum upload speed,Busy hour maximum upload speed,All hour trimmed mean latency,All hour minimum latency,All hour maximum latency,Busy hour trimmed mean latency,Busy hour minimum latency,Busy hour maximum latency,Average daily outages
135073792,NBN,Hybrid Fibre Coaxial,100/20 Mbps,Leaptel,VIC,Urban,FALSE,FALSE,1c:6xxxxxx,106.02,77.9,107.31,105.69,91.34,107.01,18.91,16.29,19.07,18.94,18.41,19,7.65,7.44,8.47,7.68,7.46,7.95,0
1028864,NBN,Fibre to the Node,50/20 Mbps,TPG,TAS,Minor Rural,FALSE,FALSE,e0:bxxxxxx,52.21,37.39,53.83,51.87,40.27,53.76,18.39,17.13,18.69,18.29,17.63,18.57,23.92,22.84,28.42,23.91,22.84,27.81,0
1188353,NBN,Hybrid Fibre Coaxial,25/5 Mbps,TPG,VIC,Urban,FALSE,FALSE,34:exxxxxx,26.33,19.26,26.55,26.09,19.26,26.52,4.66,4.34,4.8,4.64,4.34,4.78,8.81,8.39,23.24,9.36,8.43,17.91,0.35
81801473,NBN,Fibre to the Premises,50/20 Mbps,Dodo & iPrimus,VIC,Urban,FALSE,FALSE,a8:5xxxxxx,53.51,40.94,54.17,53.11,41.75,54.17,18.83,17.12,18.91,18.83,18.56,18.88,4.65,3.63,11.38,4.76,4.53,6.79,0
5071873,NBN,Fibre to the Node,50/20 Mbps,Exetel,VIC,Urban,FALSE,FALSE,28:dxxxxxx,54.01,40.34,54.49,53.35,40.34,54.42,18.84,18.27,18.99,18.84,18.75,18.99,8.26,5.11,8.95,8.35,7.08,8.95,0
23244545,NBN,Fibre to the Premises,100/20 Mbps,Optus,VIC,Urban,FALSE,FALSE,7c:1xxxxxx,108.59,61.27,110.24,106.74,61.27,109.31,18.94,18.59,19.01,18.94,18.59,19,3.57,2.87,6.96,3.66,2.87,6.96,0
2211073,NBN,Fibre to the Premises,400/50 Mbps,Launtel,TAS,Urban,FALSE,FALSE,f6:9xxxxxx,424.26,41.84,429.06,413.37,41.84,427.64,45.78,45.43,46.57,45.79,45.53,45.97,12.59,11.29,32.7,12.72,11.51,14.8,0
116906753,NBN,Hybrid Fibre Coaxial,250/25 Mbps,Dodo & iPrimus,VIC,Urban,FALSE,FALSE,1c:6xxxxxx,264.93,116.72,267.09,265.34,248.65,266.59,23.42,20.5,23.57,23.46,23.23,23.53,8.03,7.79,11.44,8.04,7.79,8.96,0.77
2219265,NBN,Fibre to the Node,50/20 Mbps,Optus,TAS,Minor Rural,TRUE,FALSE,10:1xxxxxx,37.84,23.42,38.06,37.69,30.16,38.02,10.1,9.46,10.53,10.07,9.52,10.48,22.57,18.8,26.45,22.57,22.24,23.56,0.03
83176197,NBN very high speed services,Fibre to the Premises,500-990/50 Mbps,Superloop,VIC,Urban,FALSE,FALSE,6a:dxxxxxx,914.07,537.72,936.41,898.11,537.72,936.07,47.16,45.4,47.49,47.14,45.4,47.49,1.79,1.65,1.91,1.75,1.65,1.86,0
